title,conf,year,citation,original
Audio-Visual Event Localization in Unconstrained Videos, ECCV ,2018,3,
LEGO: Learning Edge With Geometry All at Once by Watching Videos, CVPR ,2018,9,
Deep Reinforcement Learning of Marked Temporal Point Processes, NIPS ,2018,2,
Learning to Multitask, NIPS ,2018,1,
Deep Randomized Ensembles for Metric Learning, ECCV ,2018,1,
Neural Architecture Search with Bayesian Optimisation and Optimal Transport, NIPS ,2018,12,
Neural Code Comprehension: A Learnable Representation of Code Semantics, NIPS ,2018,0,
Who Let the Dogs Out? Modeling Dog Behavior From Visual Data, CVPR ,2018,2,
GraphBit: Bitwise Interaction Mining via Deep Reinforcement Learning, CVPR ,2018,1,
Im2Flow: Motion Hallucination From Static Images for Action Recognition, CVPR ,2018,7,
Deep High Dynamic Range Imaging with Large Foreground Motions, ECCV ,2018,0,
Fully Motion-Aware Network for Video Object Detection, ECCV ,2018,1,
DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors, NIPS ,2018,1,
Diversity Regularized Spatiotemporal Attention for Video-Based Person Re-Identification, CVPR ,2018,16,
Multi-scale Residual Network for Image Super-Resolution, ECCV ,2018,1,
GeoDesc: Learning Local Descriptors by Integrating Geometry Constraints, ECCV ,2018,0,
Link Prediction Based on Graph Neural Networks, NIPS ,2018,4,
PieAPP: Perceptual Image-Error Assessment Through Pairwise Preference, CVPR ,2018,0,
PiCANet: Learning Pixel-Wise Contextual Attention for Saliency Detection, CVPR ,2018,2,
Dimensionality-Driven Learning with Noisy Labels, ICML ,2018,6,
FeaStNet: Feature-Steered Graph Convolutions for 3D Shape Analysis, CVPR ,2018,12,
Visual Question Reasoning on General Dependency Tree, CVPR ,2018,3,
Explainable Neural Computation via Stack Neural Module Networks, ECCV ,2018,5,
Learning Generative ConvNets via Multi-Grid Modeling and Sampling, CVPR ,2018,1,
CryptoKnight: Generating and Modelling Compiled Cryptographic Primitives,  ,2018,0,
3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data, NIPS ,2018,4,
Triplet Loss in Siamese Network for Object Tracking, ECCV ,2018,1,
Crowd Counting With Deep Negative Correlation Learning, CVPR ,2018,6,
Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization, CVPR ,2018,5,
Disentangling Factors of Variation with Cycle-Consistent Variational Auto-Encoders, ECCV ,2018,1,
Coded Sparse Matrix Multiplication, ICML ,2018,10,
Action Sets: Weakly Supervised Action Segmentation Without Ordering Constraints, CVPR ,2018,1,
Weakly-Supervised Action Segmentation With Iterative Soft Boundary Assignment, CVPR ,2018,2,
Functional Gradient Boosting based on Residual Network Perception, ICML ,2018,0,
Zero-Shot Visual Recognition Using Semantics-Preserving Adversarial Embedding Networks, CVPR ,2018,19,
Deep One-Class Classification, ICML ,2018,1,
Conditional Image-Text Embedding Networks, ECCV ,2018,2,
EPINET: A Fully-Convolutional Neural Network Using Epipolar Geometry for Depth From Light Field Images, CVPR ,2018,4,
Learning Descriptor Networks for 3D Shape Synthesis and Analysis, CVPR ,2018,4,
Toward Characteristic-Preserving Image-based Virtual Try-On Network, ECCV ,2018,3,
Large Scale Fine-Grained Categorization and Domain-Specific Transfer Learning, CVPR ,2018,7,
Weakly- and Semi-Supervised Panoptic Segmentation, ECCV ,2018,3,
A Spectral Approach to Gradient Estimation for Implicit Distributions, ICML ,2018,2,
ISTA-Net: Interpretable Optimization-Inspired Deep Network for Image Compressive Sensing, CVPR ,2018,4,
Grounding Referring Expressions in Images by Variational Context, CVPR ,2018,11,
Bayesian Optimization of Combinatorial Structures, ICML ,2018,1,
Revisiting Deep Intrinsic Image Decompositions, CVPR ,2018,7,
Unsupervised Geometry-Aware Representation for 3D Human Pose Estimation, ECCV ,2018,7,
Stacked Conditional Generative Adversarial Networks for Jointly Learning Shadow Detection and Shadow Removal, CVPR ,2018,7,
Predicting Gaze in Egocentric Video by Learning Task-dependent Attention Transition, ECCV ,2018,8,
Convolutional Sequence to Sequence Model for Human Dynamics, CVPR ,2018,5,
Towards Human-Machine Cooperation: Self-Supervised Sample Mining for Object Detection, CVPR ,2018,2,
Multi-Scale Weighted Nuclear Norm Image Restoration, CVPR ,2018,2,
Hierarchical Relational Networks for Group Activity Recognition and Retrieval, ECCV ,2018,0,
"Total Capture: A 3D Deformation Model for Tracking Faces, Hands, and Bodies", CVPR ,2018,13,
NAG: Network for Adversary Generation, CVPR ,2018,7,
Collaborative and Adversarial Network for Unsupervised Domain Adaptation, CVPR ,2018,7,
Adversarial Attack on Graph Structured Data, ICML ,2018,7,
3DFeat-Net: Weakly Supervised Local 3D Features for Point Cloud Registration, ECCV ,2018,2,
Fast Video Object Segmentation by Reference-Guided Mask Propagation, CVPR ,2018,6,
To Trust Or Not To Trust A Classifier, NIPS ,2018,6,
Efficient Neural Audio Synthesis, ICML ,2018,17,
Learning 3D Shape Completion From Laser Scan Data With Weak Supervision, CVPR ,2018,4,
Visual Coreference Resolution in Visual Dialog using Neural Module Networks, ECCV ,2018,1,
Decouple Learning for Parameterized Image Operators, ECCV ,2018,4,
Learning and Using the Arrow of Time, CVPR ,2018,9,
Adversarial Complementary Learning for Weakly Supervised Object Localization, CVPR ,2018,17,
Arbitrary Style Transfer With Deep Feature Reshuffle, CVPR ,2018,2,
Gesture Recognition: Focus on the Hands, CVPR ,2018,3,
Local Spectral Graph Convolution for Point Set Feature Learning, ECCV ,2018,3,
Low-Shot Learning With Large-Scale Diffusion, CVPR ,2018,8,
Objects that Sound, ECCV ,2018,24,
CTAP: Complementary Temporal Action Proposal Generation, ECCV ,2018,8,
Image Transformer, ICML ,2018,21,
Glimpse Clouds: Human Activity Recognition From Unstructured Feature Points, CVPR ,2018,13,
Gradient-Based Meta-Learning with Learned Layerwise Metric and Subspace, ICML ,2018,7,
Joint Optimization Framework for Learning With Noisy Labels, CVPR ,2018,11,
Learning to Forecast and Refine Residual Motion for Image-to-Video Generation, ECCV ,2018,7,
Hierarchical Novelty Detection for Visual Object Recognition, CVPR ,2018,1,
Learning Conditioned Graph Structures for Interpretable Visual Question Answering, NIPS ,2018,0,
Learning Rich Features for Image Manipulation Detection, CVPR ,2018,9,
Future Person Localization in First-Person Videos, CVPR ,2018,3,
Neural Sign Language Translation, CVPR ,2018,1,
Sliced Wasserstein Distance for Learning Gaussian Mixture Models, CVPR ,2018,3,
Convolutional Image Captioning, CVPR ,2018,16,
Face Aging With Identity-Preserved Conditional Generative Adversarial Networks, CVPR ,2018,3,
Deep Expander Networks: Efficient Deep Networks from Graph Theory, ECCV ,2018,7,
HashGAN: Deep Learning to Hash With Pair Conditional Wasserstein GAN, CVPR ,2018,0,
Dynamic Multimodal Instance Segmentation Guided by Natural Language Queries, ECCV ,2018,7,
Min-Entropy Latent Model for Weakly Supervised Object Detection, CVPR ,2018,0,
Learning Transferable Architectures for Scalable Image Recognition, CVPR ,2018,250,
Hierarchical Multi-Label Classification Networks, ICML ,2018,2,
Open Set Domain Adaptation by Backpropagation, ECCV ,2018,3,
Joint Pose and Expression Modeling for Facial Expression Recognition, CVPR ,2018,6,
Pose Proposal Networks, ECCV ,2018,1,
Learning by Asking Questions, CVPR ,2018,6,
Densely Connected Attention Propagation for Reading Comprehension, NIPS ,2018,0,
Adversarial Time-to-Event Modeling, ICML ,2018,2,
Fully-Convolutional Point Networks for Large-Scale Point Clouds, ECCV ,2018,3,
Multimodal Explanations: Justifying Decisions and Pointing to the Evidence, CVPR ,2018,19,
Generalized Earley Parser: Bridging Symbolic Grammars and Sequence Data for Future Prediction, ICML ,2018,2,
Accelerating Natural Gradient with Higher-Order Invariance, ICML ,2018,2,
Anonymous Walk Embeddings, ICML ,2018,5,
Lipschitz-Margin Training: Scalable Certification of Perturbation Invariance for Deep Neural Networks, NIPS ,2018,13,
Learning Type-Aware Embeddings for Fashion Compatibility, ECCV ,2018,2,
Finding Influential Training Samples for Gradient Boosted Decision Trees, ICML ,2018,1,
Mix and Match Networks: Encoder-Decoder Alignment for Zero-Pair Image Translation, CVPR ,2018,6,
Meta-Learning by Adjusting Priors Based on Extended PAC-Bayes Theory, ICML ,2018,1,
Learning to Understand Image Blur, CVPR ,2018,0,
AON: Towards Arbitrarily-Oriented Text Recognition, CVPR ,2018,4,
Attention in Convolutional LSTM for Gesture Recognition, NIPS ,2018,0,
Rethinking the Form of Latent States in Image Captioning, ECCV ,2018,1,
Adaptive Skip Intervals: Temporal Abstraction for Recurrent Dynamical Models, NIPS ,2018,0,
Deep Diffeomorphic Transformer Networks, CVPR ,2018,0,
Learning Superpixels With Segmentation-Aware Affinity Loss, CVPR ,2018,1,
Synthesizing Robust Adversarial Examples, ICML ,2018,132,
Learning a Discriminative Feature Network for Semantic Segmentation, CVPR ,2018,15,
Learning Dynamics of Linear Denoising Autoencoders, ICML ,2018,0,
AMNet: Memorability Estimation With Attention, CVPR ,2018,6,
Hashing as Tie-Aware Learning to Rank, CVPR ,2018,4,
Variational Autoencoders for Deforming 3D Mesh Models, CVPR ,2018,5,
Recovering 3D Planes from a Single Image via Convolutional Neural Networks, ECCV ,2018,1,
Boosting Domain Adaptation by Discovering Latent Domains, CVPR ,2018,5,
Fast Information-theoretic Bayesian Optimisation, ICML ,2018,3,
Salient Object Detection Driven by Fixation Prediction, CVPR ,2018,5,
Deep Variational Reinforcement Learning for POMDPs, ICML ,2018,4,
Cross-View Image Synthesis Using Conditional GANs, CVPR ,2018,5,
Excitation Backprop for RNNs, CVPR ,2018,2,
A Unified Feature Disentangler for Multi-Domain Image Translation and Manipulation, NIPS ,2018,1,
Analyzing Uncertainty in Neural Machine Translation, ICML ,2018,11,
Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering, CVPR ,2018,69,
Learning a Discriminative Filter Bank Within a CNN for Fine-Grained Recognition, CVPR ,2018,1,
PacGAN: The power of two samples in generative adversarial networks, NIPS ,2018,12,
Decoupled Parallel Backpropagation with Convergence Guarantee, ICML ,2018,1,
Generative Probabilistic Novelty Detection with Adversarial Autoencoders, NIPS ,2018,0,
Fine-Grained Visual Categorization using Meta-Learning Optimization with Sample Selection of Auxiliary Data, ECCV ,2018,0,
Cross-Domain Self-Supervised Multi-Task Feature Learning Using Synthetic Imagery, CVPR ,2018,13,
Five-Point Fundamental Matrix Estimation for Uncalibrated Cameras, CVPR ,2018,2,
Semantic Video Segmentation by Gated Recurrent Flow Propagation, CVPR ,2018,15,
Detecting and Correcting for Label Shift with Black Box Predictors, ICML ,2018,5,
A Two-Step Disentanglement Method, CVPR ,2018,2,
Learning to Explain: An Information-Theoretic Perspective on Model Interpretation, ICML ,2018,16,
Conditional Prior Networks for Optical Flow, ECCV ,2018,0,
oi-VAE: Output Interpretable VAEs for Nonlinear Group Factor Analysis, ICML ,2018,0,
A Memory Network Approach for Story-Based Temporal Summarization of 360° Videos, CVPR ,2018,0,
Clipped Action Policy Gradient, ICML ,2018,1,
Generative Adversarial Learning Towards Fast Weakly Supervised Detection, CVPR ,2018,3,
Generalizing to Unseen Domains via Adversarial Data Augmentation, NIPS ,2018,2,
On GANs and GMMs, NIPS ,2018,3,
SpiderCNN: Deep Learning on Point Sets with Parameterized Convolutional Filters, ECCV ,2018,8,
Deep Learning Under Privileged Information Using Heteroscedastic Dropout, CVPR ,2018,1,
Stochastic Downsampling for Cost-Adjustable Inference and Improved Regularization in Convolutional Networks, CVPR ,2018,4,
Banach Wasserstein GAN, NIPS ,2018,6,
Low-Shot Learning With Imprinted Weights, CVPR ,2018,5,
AttnGAN: Fine-Grained Text to Image Generation With Attentional Generative Adversarial Networks, CVPR ,2018,45,
Towards Open-Set Identity Preserving Face Synthesis, CVPR ,2018,8,
ShapeStacks: Learning Vision-Based Physical Intuition for Generalised Object Stacking, ECCV ,2018,0,
Adversarial Learning with Local Coordinate Coding, ICML ,2018,0,
Geometry-Aware Scene Text Detection With Instance Transformation Network, CVPR ,2018,5,
Progressive Attention Guided Recurrent Network for Salient Object Detection, CVPR ,2018,6,
AutoLoc: Weakly-supervised Temporal Action Localization in Untrimmed Videos, ECCV ,2018,5,
Learning Facial Action Units From Web Images With Scalable Weakly Supervised Clustering, CVPR ,2018,1,
Specular-to-Diffuse Translation for Multi-View Reconstruction, ECCV ,2018,2,
Dynamic Conditional Networks for Few-Shot Learning, ECCV ,2018,0,
The Description Length of Deep Learning models, NIPS ,2018,1,
The Mirage of Action-Dependent Baselines in Reinforcement Learning, ICML ,2018,11,
Multimodal Generative Models for Scalable Weakly-Supervised Learning, NIPS ,2018,5,
Blind Justice: Fairness with Encrypted Sensitive Attributes, ICML ,2018,4,
Inner Space Preserving Generative Pose Machine, ECCV ,2018,0,
Don’t Just Assume  Look and Answer: Overcoming Priors for Visual Question Answering, CVPR ,2018,22,
Attention Clusters: Purely Attention Based Local Feature Integration for Video Classification, CVPR ,2018,14,
Bilevel Programming for Hyperparameter Optimization and Meta-Learning, ICML ,2018,8,
Transfer Learning via Learning to Transfer, ICML ,2018,2,
Ultra Large-Scale Feature Selection using Count-Sketches, ICML ,2018,1,
Learning to Separate Object Sounds by Watching Unlabeled Video, ECCV ,2018,13,
HiDDeN: Hiding Data with Deep Networks, ECCV ,2018,2,
Orthogonally Decoupled Variational Gaussian Processes, NIPS ,2018,0,
Constraint-Aware Deep Neural Network Compression, ECCV ,2018,1,
Assessing Generative Models via Precision and Recall, NIPS ,2018,5,
Learning K-way D-dimensional Discrete Codes for Compact Embedding Representations, ICML ,2018,5,
Weakly-supervised Video Summarization using Variational Encoder-Decoder and Web Prior, ECCV ,2018,0,
"Pixels, Voxels, and Views: A Study of Shape Representations for Single View 3D Object Shape Prediction", CVPR ,2018,3,
Unsupervised holistic image generation from key local patches, ECCV ,2018,1,
Learning Steady-States of Iterative Algorithms over Graphs, ICML ,2018,0,
Modeling Sparse Deviations for Compressed Sensing using Generative Models, ICML ,2018,2,
Inter and Intra Topic Structure Learning with Word Embeddings, ICML ,2018,2,
Gradually Updated Neural Networks for Large-Scale Image Recognition, ICML ,2018,3,
Neural Architecture Optimization, NIPS ,2018,12,
"High-Quality Prediction Intervals for Deep Learning: A Distribution-Free, Ensembled Approach", ICML ,2018,4,
Dynamic-Structured Semantic Propagation Network, CVPR ,2018,13,
Human Pose Estimation With Parsing Induced Learner, CVPR ,2018,1,
Learning Face Age Progression: A Pyramid Architecture of GANs, CVPR ,2018,5,
Multi-Oriented Scene Text Detection via Corner Localization and Region Segmentation, CVPR ,2018,16,
Joint Representation and Truncated Inference Learning for Correlation Filter based Tracking, ECCV ,2018,1,
Logo Synthesis and Manipulation With Clustered Generative Adversarial Networks, CVPR ,2018,3,
Zoom and Learn: Generalizing Deep Stereo Matching to Novel Domains, CVPR ,2018,2,
Light Structure from Pin Motion: Simple and Accurate Point Light Calibration for Physics-based Modeling, ECCV ,2018,0,
Robust Physical-World Attacks on Deep Learning Visual Classification, CVPR ,2018,18,
End-to-End Incremental Learning, ECCV ,2018,4,
Statistically-motivated Second-order Pooling, ECCV ,2018,3,
Classification from Pairwise Similarity and Unlabeled Data, ICML ,2018,3,
DVQA: Understanding Data Visualizations via Question Answering, CVPR ,2018,4,
Towards Realistic Predictors, ECCV ,2018,0,
Connecting Pixels to Privacy and Utility: Automatic Redaction of Private Information in Images, CVPR ,2018,4,
Breaking the Activation Function Bottleneck through Adaptive Parameterization, NIPS ,2018,0,
Quadrature-based features for kernel approximation, NIPS ,2018,0,
Transferable Adversarial Perturbations, ECCV ,2018,0,
BourGAN: Generative Networks with Metric Embeddings, NIPS ,2018,1,
Geolocation Estimation of Photos using a Hierarchical Model and Scene Classification, ECCV ,2018,0,
Estimating the Success of Unsupervised Image to Image Translation, ECCV ,2018,1,
Tracking Emerges by Colorizing Videos, ECCV ,2018,2,
Differentially Private Database Release via Kernel Mean Embeddings, ICML ,2018,1,
Inference Suboptimality in Variational Autoencoders, ICML ,2018,19,
Mutual Information Neural Estimation, ICML ,2018,27,
Convergent Tree Backup and Retrace with Function Approximation, ICML ,2018,5,
Not to Cry Wolf: Distantly Supervised Multitask Learning in Critical Care, ICML ,2018,5,
Saliency Detection in 360° Videos, ECCV ,2018,2,
Learning to Branch, ICML ,2018,5,
Gaze Prediction in Dynamic 360° Immersive Videos, CVPR ,2018,0,
Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence, CVPR ,2018,1,
A Joint Sequence Fusion Model for Video Question Answering and Retrieval, ECCV ,2018,1,
Sidekick Policy Learning for Active Visual Exploration, ECCV ,2018,0,
CLEAR: Cumulative LEARning for One-Shot One-Class Image Recognition, CVPR ,2018,0,
Spatially-Adaptive Filter Units for Deep Neural Networks, CVPR ,2018,0,
Learning Answer Embeddings for Visual Question Answering, CVPR ,2018,2,
Deep Burst Denoising, ECCV ,2018,8,
High-Resolution Image Synthesis and Semantic Manipulation With Conditional GANs, CVPR ,2018,164,
Image Super-Resolution via Dual-State Recurrent Networks, CVPR ,2018,8,
Deepcode: Feedback Codes via Deep Learning, NIPS ,2018,3,
Parallel Bayesian Network Structure Learning, ICML ,2018,1,
SegStereo: Exploiting Semantic Information for Disparity Estimation, ECCV ,2018,2,
Disentangling Factors of Variation by Mixing Them, CVPR ,2018,2,
Diverse and Coherent Paragraph Generation from Images, ECCV ,2018,1,
Statistical Recurrent Models on Manifold valued Data, NIPS ,2018,1,
Ring Loss: Convex Feature Normalization for Face Recognition, CVPR ,2018,8,
Stereo Vision-based Semantic 3D Object and Ego-motion Tracking for Autonomous Driving, ECCV ,2018,0,
Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization, ICML ,2018,3,
Bridging the Gap Between Value and Policy Based Reinforcement Learning, NIPS ,2017,58,
"REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models", NIPS ,2017,50,
Focal Loss for Dense Object Detection, ICCV ,2017,477,
Deep Photo Style Transfer, CVPR ,2017,114,
Mask R-CNN, ICCV ,2017,1244,
LightGBM: A Highly Efficient Gradient Boosting Decision Tree, NIPS ,2017,126,
Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation, NIPS ,2017,92,
Attention is All you Need, NIPS ,2017,997,
Large Pose 3D Face Reconstruction From a Single Image via Direct Volumetric CNN Regression, ICCV ,2017,59,
Densely Connected Convolutional Networks, CVPR ,2017,2417,
A Unified Approach to Interpreting Model Predictions, NIPS ,2017,96,
Deformable Convolutional Networks, ICCV ,2017,262,
"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games", NIPS ,2017,29,
Fully Convolutional Instance-Aware Semantic Segmentation, CVPR ,2017,184,
PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation, CVPR ,2017,213,
Improved Training of Wasserstein GANs, NIPS ,2017,856,
Aggregated Residual Transformations for Deep Neural Networks, CVPR ,2017,643,
Photographic Image Synthesis With Cascaded Refinement Networks, ICCV ,2017,170,
Unsupervised Image-to-Image Translation Networks, NIPS ,2017,309,
Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network, CVPR ,2017,1150,
High-Resolution Image Inpainting Using Multi-Scale Neural Patch Synthesis, CVPR ,2017,132,
SphereFace: Deep Hypersphere Embedding for Face Recognition, CVPR ,2017,175,
Bayesian GAN, NIPS ,2017,29,
Deep Feature Flow for Video Recognition, CVPR ,2017,67,
Pyramid Scene Parsing Network, CVPR ,2017,704,
Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes, NIPS ,2017,8,
Finding Tiny Faces, CVPR ,2017,159,
Learning to Discover Cross-Domain Relations with Generative Adversarial Networks, ICML ,2017,329,
"YOLO9000: Better, Faster, Stronger", CVPR ,2017,1436,
Toward Multimodal Image-to-Image Translation, NIPS ,2017,88,
FlowNet 2.0: Evolution of Optical Flow Estimation With Deep Networks, CVPR ,2017,369,
PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space, NIPS ,2017,271,
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks, ICML ,2017,330,
Inferring and Executing Programs for Visual Reasoning, ICCV ,2017,102,
Channel Pruning for Accelerating Very Deep Neural Networks, ICCV ,2017,135,
Dilated Residual Networks, CVPR ,2017,150,
Accelerating Eulerian Fluid Simulation With Convolutional Networks, ICML ,2017,70,
DSOD: Learning Deeply Supervised Object Detectors From Scratch, ICCV ,2017,69,
Arbitrary Style Transfer in Real-Time With Adaptive Instance Normalization, ICCV ,2017,136,
Learning Disentangled Representations with Semi-Supervised Deep Generative Models, NIPS ,2017,63,
"How Far Are We From Solving the 2D & 3D Face Alignment Problem? (And a Dataset of 230,000 3D Facial Landmarks)", ICCV ,2017,85,
Regressing Robust and Discriminative 3D Morphable Models With a Very Deep Neural Network, CVPR ,2017,56,
Learning From Simulated and Unsupervised Images Through Adversarial Training, CVPR ,2017,419,
Plug & Play Generative Networks: Conditional Iterative Generation of Images in Latent Space, CVPR ,2017,190,
SSH: Single Stage Headless Face Detector, ICCV ,2017,59,
"GMS: Grid-based Motion Statistics for Fast, Ultra-Robust Feature Correspondence", CVPR ,2017,49,
Dual Path Networks, NIPS ,2017,113,
Inductive Representation Learning on Large Graphs, NIPS ,2017,202,
Video Frame Interpolation via Adaptive Convolution, CVPR ,2017,48,
Video Frame Interpolation via Adaptive Separable Convolution, ICCV ,2017,56,
Joint Detection and Identification Feature Learning for Person Search, CVPR ,2017,115,
Flow-Guided Feature Aggregation for Video Object Detection, ICCV ,2017,53,
Recurrent Highway Networks, ICML ,2017,176,
Deep Image Matting, CVPR ,2017,45,
Detect to Track and Track to Detect, ICCV ,2017,42,
Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results, NIPS ,2017,55,
Annotating Object Instances With a Polygon-RNN, CVPR ,2017,33,
RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation, CVPR ,2017,326,
Deep Lattice Networks and Partial Monotonic Functions, NIPS ,2017,10,
RON: Reverse Connection With Objectness Prior Networks for Object Detection, CVPR ,2017,62,
Detecting Oriented Text in Natural Images by Linking Segments, CVPR ,2017,78,
Universal Style Transfer via Feature Transforms, NIPS ,2017,54,
Accurate Single Stage Detector Using Recurrent Rolling Convolution, CVPR ,2017,66,
One-Shot Video Object Segmentation, CVPR ,2017,153,
Efficient softmax approximation for GPUs, ICML ,2017,53,
Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution, CVPR ,2017,215,
Pixel Recursive Super Resolution, ICCV ,2017,76,
Residual Attention Network for Image Classification, CVPR ,2017,251,
Dilated Recurrent Neural Networks, NIPS ,2017,26,
OctNet: Learning Deep 3D Representations at High Resolutions, CVPR ,2017,178,
Feature Pyramid Networks for Object Detection, CVPR ,2017,702,
The Predictron:  End-To-End Learning and Planning, ICML ,2017,55,
DeepBach: a Steerable Model for Bach Chorales Generation, ICML ,2017,84,
Self-Critical Sequence Training for Image Captioning, CVPR ,2017,190,
Age Progression/Regression by Conditional Adversarial Autoencoder, CVPR ,2017,79,
Style Transfer from Non-Parallel Text by Cross-Alignment, NIPS ,2017,81,
Lifting From the Deep: Convolutional 3D Pose Estimation From a Single Image, CVPR ,2017,85,
Richer Convolutional Features for Edge Detection, CVPR ,2017,73,
OptNet: Differentiable Optimization as a Layer in Neural Networks, ICML ,2017,48,
Deep Voice: Real-time Neural Text-to-Speech, ICML ,2017,114,
Convolutional Sequence to Sequence Learning, ICML ,2017,441,
Reinforcement Learning with Deep Energy-Based Policies, ICML ,2017,103,
Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning, CVPR ,2017,177,
Stacked Generative Adversarial Networks, CVPR ,2017,143,
RMPE: Regional Multi-Person Pose Estimation, ICCV ,2017,60,
BlitzNet: A Real-Time Deep Network for Scene Understanding, ICCV ,2017,16,
Language Modeling with Gated Convolutional Networks, ICML ,2017,218,
A Point Set Generation Network for 3D Object Reconstruction From a Single Image, CVPR ,2017,152,
Spatially Adaptive Computation Time for Residual Networks, CVPR ,2017,57,
Prototypical Networks for Few-shot Learning, NIPS ,2017,220,
Unlabeled Samples Generated by GAN Improve the Person Re-Identification Baseline in Vitro, ICCV ,2017,234,
The Reversible Residual Network: Backpropagation Without Storing Activations, NIPS ,2017,32,
Generative Face Completion, CVPR ,2017,80,
Deeply Supervised Salient Object Detection With Short Connections, CVPR ,2017,132,
Recurrent Scale Approximation for Object Detection in CNN, ICCV ,2017,23,
Visual Dialog, CVPR ,2017,132,
FastMask: Segment Multi-Scale Object Candidates in One Shot, CVPR ,2017,9,
Learning Deep CNN Denoiser Prior for Image Restoration, CVPR ,2017,151,
VPGNet: Vanishing Point Guided Network for Lane and Road Marking Detection and Recognition, ICCV ,2017,24,
Interpretable Explanations of Black Boxes by Meaningful Perturbation, ICCV ,2017,107,
Semantic Scene Completion From a Single Depth Image, CVPR ,2017,165,
Inverse Compositional Spatial Transformer Networks, CVPR ,2017,34,
Learning From Synthetic Humans, CVPR ,2017,100,
Learning Feature Pyramids for Human Pose Estimation, ICCV ,2017,57,
Be Your Own Prada: Fashion Synthesis With Structural Coherence, ICCV ,2017,30,
OnACID: Online Analysis of Calcium Imaging Data in Real Time, NIPS ,2017,5,
Learning to Reason: End-To-End Module Networks for Visual Question Answering, ICCV ,2017,107,
3D Bounding Box Estimation Using Deep Learning and Geometry, CVPR ,2017,83,
Binarized Convolutional Landmark Localizers for Human Pose Estimation and Face Alignment With Limited Resources, ICCV ,2017,31,
Multi-View 3D Object Detection Network for Autonomous Driving, CVPR ,2017,161,
Learning Efficient Convolutional Networks Through Network Slimming, ICCV ,2017,97,
Beyond Face Rotation: Global and Local Perception GAN for Photorealistic and Identity Preserving Frontal View Synthesis, ICCV ,2017,117,
GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium, NIPS ,2017,127,
Fast Image Processing With Fully-Convolutional Networks, ICCV ,2017,39,
Scene Graph Generation by Iterative Message Passing, CVPR ,2017,79,
Single Shot Text Detector With Regional Attention, ICCV ,2017,42,
Image Super-Resolution via Deep Recursive Residual Network, CVPR ,2017,150,
Input Convex Neural Networks, ICML ,2017,29,
Oriented Response Networks, CVPR ,2017,43,
Learning Multiple Tasks with Multilinear Relationship Networks, NIPS ,2017,10,
Learning Cross-Modal Embeddings for Cooking Recipes and Food Images, CVPR ,2017,56,
On Human Motion Prediction Using Recurrent Neural Networks, CVPR ,2017,52,
Language Modeling with Recurrent Highway Hypernetworks, NIPS ,2017,6,
Soft Proposal Networks for Weakly Supervised Object Localization, ICCV ,2017,23,
Axiomatic Attribution for Deep Networks, ICML ,2017,126,
Low-Shot Visual Recognition by Shrinking and Hallucinating Features, ICCV ,2017,77,
Simple Does It: Weakly Supervised Instance and Semantic Segmentation, CVPR ,2017,60,
Deep Feature Interpolation for Image Content Changes, CVPR ,2017,43,
Interpolated Policy Gradient: Merging On-Policy and Off-Policy Gradient Estimation for Deep Reinforcement Learning, NIPS ,2017,34,
Adversarial Variational Bayes: Unifying Variational Autoencoders and Generative Adversarial Networks, ICML ,2017,153,
Attend to You: Personalized Image Captioning With Context Sequence Memory Networks, CVPR ,2017,11,
Triple Generative Adversarial Nets, NIPS ,2017,56,
Conditional Similarity Networks, CVPR ,2017,22,
One-Sided Unsupervised Domain Mapping, NIPS ,2017,30,
Attentive Recurrent Comparators, ICML ,2017,28,
Detecting Visual Relationships With Deep Relational Networks, CVPR ,2017,57,
Gradient Episodic Memory for Continual Learning, NIPS ,2017,50,
Controlling Perceptual Factors in Neural Style Transfer, CVPR ,2017,84,
CREST: Convolutional Residual Learning for Visual Tracking, ICCV ,2017,84,
Multi-Context Attention for Human Pose Estimation, CVPR ,2017,101,
SegFlow: Joint Learning for Video Object Segmentation and Optical Flow, ICCV ,2017,56,
Towards 3D Human Pose Estimation in the Wild: A Weakly-Supervised Approach, ICCV ,2017,59,
DSAC - Differentiable RANSAC for Camera Localization, CVPR ,2017,53,
