title,conf,year,repo_name,repo_owner,created_at,stars_count,forks_count,subscribers_count,network_count,language,license,organization
One-Shot Unsupervised Cross Domain Translation,NIPS,2018,OneShotTranslation,sagiebenaim,2018-06-15 15:20:06,88,12,5,12,Python,Other,
Pairwise Confusion for Fine-Grained Visual Classification,ECCV,2018,confusion,abhimanyudubey,2017-08-21 08:58:14,76,15,2,15,Python,,
Multi-Shot Pedestrian Re-Identification via Sequential Decision Making,CVPR,2018,rl-multishot-reid,TuSimple,2017-12-21 02:57:36,68,19,13,19,Python,,TuSimple
Generalizing A Person Retrieval Model Hetero- and Homogeneously,ECCV,2018,HHL,zhunzhong07,2018-07-09 02:04:27,76,17,2,17,Python,,
Learning Depth From Monocular Videos Using Direct Methods,CVPR,2018,LKVOLearner,MightyChaos,2018-01-03 01:59:18,94,9,5,9,Python,"BSD 3-Clause ""New"" or ""Revised"" License",
CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,CVPR,2018,CSRNet-pytorch,leeyeehoo,2018-07-10 14:35:57,85,28,7,28,Jupyter Notebook,,
“Zero-Shot” Super-Resolution Using Deep Internal Learning,CVPR,2018,ZSSR,assafshocher,2018-04-26 08:18:00,80,24,8,24,Python,Other,
Learning Attentions: Residual Attentional Siamese Network for High Performance Online Visual Tracking,CVPR,2018,RASNet,foolwood,2018-01-31 01:58:54,64,8,25,8,,MIT License,
PointNetVLAD: Deep Point Cloud Based Retrieval for Large-Scale Place Recognition,CVPR,2018,pointnetvlad,mikacuy,2018-03-16 15:31:04,67,19,10,19,Python,MIT License,
Generative Neural Machine Translation,NIPS,2018,NMT_GAN,ZhenYangIACAS,2018-02-26 02:59:44,67,20,4,20,Python,Apache License 2.0,
Object Level Visual Reasoning in Videos,ECCV,2018,object_level_visual_reasoning,fabienbaradel,2018-08-03 09:08:01,71,11,10,11,Python,,
Generate to Adapt: Aligning Domains Using Generative Adversarial Networks,CVPR,2018,Generate_To_Adapt,yogeshbalaji,2018-03-28 03:23:30,66,9,4,9,Python,,
Improving Generalization via  Scalable Neighborhood Component Analysis,ECCV,2018,snca.pytorch,Microsoft,2018-08-14 03:39:56,73,9,6,9,Python,MIT License,Microsoft
Geometry-Aware Learning of Maps for Camera Localization,CVPR,2018,MapNet,samarth-robo,2018-03-07 03:14:47,62,10,11,10,,,
Path-Level Network Transformation for Efficient Architecture Search,ICML,2018,PathLevel-EAS,han-cai,2018-06-03 03:25:54,70,10,3,10,Python,,
Decorrelated Batch Normalization,CVPR,2018,DecorrelatedBN,princeton-vl,2018-03-11 02:49:12,57,8,3,8,Lua,"BSD 2-Clause ""Simplified"" License",princeton-vl
Ordinal Depth Supervision for 3D Human Pose Estimation,CVPR,2018,ordinal-pose3d,geopavlakos,2018-06-21 12:04:53,72,11,6,11,Lua,,
Disentangled Person Image Generation,CVPR,2018,Disentangled-Person-Image-Generation,charliememory,2018-03-28 10:24:19,75,12,19,12,,,
Regularizing RNNs for Caption Generation by Reconstructing the Past With the Present,CVPR,2018,ARNet,chenxinpeng,2018-03-21 12:47:09,70,14,2,14,Python,Other,
Diverse Image-to-Image Translation via Disentangled Representations,ECCV,2018,DRIT,HsinYingLee,2018-03-26 00:31:06,265,52,13,52,Python,,
Pointwise Convolutional Neural Networks,CVPR,2018,pointwise,scenenn,2018-04-03 06:08:55,66,17,10,17,Python,MIT License,scenenn
Neural Program Synthesis from Diverse Demonstration Videos,ICML,2018,demo2program,shaohua0116,2018-06-23 08:22:40,61,7,6,7,Python,MIT License,
Learning Less Is More - 6D Camera Localization via 3D Surface Regression,CVPR,2018,LessMore,vislearn,2018-06-06 11:33:39,69,13,9,13,C++,"BSD 3-Clause ""New"" or ""Revised"" License",vislearn
Unsupervised Domain Adaptation for 3D Keypoint Estimation via View Consistency,ECCV,2018,3DKeypoints-DA,xingyizhou,2017-12-14 21:23:27,60,3,6,3,Python,GNU General Public License v3.0,
Learning Latent Super-Events to Detect Multiple Activities in Videos,CVPR,2018,super-events-cvpr18,piergiaj,2018-03-26 19:00:32,65,17,7,17,Python,MIT License,
Depth-aware CNN for RGB-D Segmentation,ECCV,2018,DepthAwareCNN,laughtervv,2018-03-13 05:03:07,84,25,8,25,Python,MIT License,
Crafting a Toolchain for Image Restoration by Deep Reinforcement Learning,CVPR,2018,RL-Restore,yuke93,2018-04-10 14:02:20,75,18,7,18,Python,MIT License,
Unsupervised Discovery of Object Landmarks as Structural Representations,CVPR,2018,lmdis-rep,YutingZhang,2018-06-19 15:00:58,57,4,7,4,Python,,
Self-Supervised Adversarial Hashing Networks for Cross-Modal Retrieval,CVPR,2018,SSAH,lelan-li,2018-07-11 12:56:32,69,20,1,20,Python,,
Adversarial Feature Augmentation for Unsupervised Domain Adaptation,CVPR,2018,adversarial-feature-augmentation,ricvolpi,2017-11-18 21:54:15,65,24,6,24,Python,MIT License,
SparseMAP: Differentiable Sparse Structured Inference,ICML,2018,sparsemap,vene,2018-06-01 16:53:27,73,9,6,9,C++,MIT License,
Fast and Accurate Single Image Super-Resolution via Information Distillation Network,CVPR,2018,IDN-Caffe,Zheng222,2018-02-24 11:34:50,71,20,5,20,MATLAB,,
Neural Style Transfer via Meta Networks,CVPR,2018,styletransfer,FalongShen,2017-09-13 02:09:24,58,18,8,18,Makefile,"BSD 2-Clause ""Simplified"" License",
Deep Marching Cubes: Learning Explicit Surface Representations,CVPR,2018,deep_marching_cubes,yiyiliao,2018-06-14 09:29:27,56,11,3,11,Python,,
Shift-Net: Image Inpainting via Deep Feature Rearrangement,ECCV,2018,Shift-Net_pytorch,Zhaoyi-Yan,2018-04-12 14:38:40,68,21,3,21,Python,MIT License,
Fighting Fake News: Image Splice Detection via Learned Self-Consistency,ECCV,2018,selfconsistency,minyoungg,2018-05-10 05:32:40,62,12,9,12,Jupyter Notebook,Apache License 2.0,
Weakly-Supervised Semantic Segmentation Network With Deep Seeded Region Growing,CVPR,2018,DSRG,speedinghzl,2018-03-15 12:06:52,70,17,10,17,Python,MIT License,
Learning From Synthetic Data: Addressing Domain Shift for Semantic Segmentation,CVPR,2018,LSD-seg,swamiviv,2018-03-27 19:53:33,56,13,6,13,Python,,
Leveraging Unlabeled Data for Crowd Counting by Learning to Rank,CVPR,2018,CrowdCountingCVPR18,xialeiliu,2018-03-05 12:57:03,54,13,12,13,,,
Hierarchical Long-term Video Prediction without Supervision,ICML,2018,long-term-video-prediction-without-supervision,brain-research,2018-01-15 22:29:56,56,18,6,18,Python,Apache License 2.0,brain-research
PDE-Net: Learning PDEs from Data,ICML,2018,PDE-Net,ZichaoLong,2018-05-24 13:12:11,74,22,6,22,Python,,
Discriminability Objective for Training Descriptive Captions,CVPR,2018,DiscCaptioning,ruotianluo,2018-06-07 15:42:12,54,7,4,7,Python,,
Efficient end-to-end learning for quantizable representations,ICML,2018,Deep-Hash-Table-ICML18,maestrojeong,2018-05-29 08:33:37,50,12,6,12,Python,MIT License,
DF-Net: Unsupervised Joint Learning of Depth and Flow using Cross-Task Consistency,ECCV,2018,DF-Net,vt-vl-lab,2018-09-04 21:53:12,73,7,7,7,Python,MIT License,vt-vl-lab
Visual Question Generation as Dual Task of Visual Question Answering,CVPR,2018,iQAN,yikang-li,2017-09-15 09:34:36,50,7,4,7,Jupyter Notebook,,
BlockDrop: Dynamic Inference Paths in Residual Networks,CVPR,2018,blockdrop,Tushar-N,2018-02-01 22:17:02,53,17,5,17,Python,,
Learning to Find Good Correspondences,CVPR,2018,learned-correspondence-release,vcg-uvic,2018-04-16 18:25:25,70,16,8,16,Python,Other,vcg-uvic
Conditional Probability Models for Deep Image Compression,CVPR,2018,imgcomp-cvpr,fab-jul,2018-03-28 08:34:42,53,15,8,15,Python,GNU General Public License v3.0,
Pose-Normalized Image Generation for Person Re-identification,ECCV,2018,PN_GAN,naiq,2018-01-18 12:29:03,71,16,7,16,Matlab,,
Wasserstein Introspective Neural Networks,CVPR,2018,WINN,kjunelee,2018-03-28 18:36:50,51,15,4,15,Jupyter Notebook,,
Learning to Navigate for Fine-grained Classification,ECCV,2018,NTS-Net,yangze0930,2018-09-01 11:02:49,74,26,6,26,Python,,
Jointly Optimize Data Augmentation and Network Training: Adversarial Data Augmentation in Human Pose Estimation,CVPR,2018,pose-adv-aug,zhiqiangdon,2018-07-02 18:20:34,51,9,2,9,Python,Apache License 2.0,
Measuring abstract reasoning in neural networks,ICML,2018,abstract-reasoning-matrices,deepmind,2018-06-07 12:40:21,50,8,12,8,,Apache License 2.0,deepmind
Unsupervised Attention-guided Image-to-Image Translation,NIPS,2018,Unsupervised-Attention-guided-Image-to-Image-Translation,AlamiMejjati,2018-06-05 14:58:30,100,15,6,15,Python,MIT License,
PlaneMatch: Patch Coplanarity Prediction for Robust RGB-D Reconstruction,ECCV,2018,PlaneMatch,yifeishi,2018-07-17 17:55:27,56,16,7,16,Python,,
Fast and Scalable Bayesian Deep Learning by Weight-Perturbation in Adam,ICML,2018,vadam,emtiyaz,2018-06-07 06:49:14,49,14,8,14,Matlab,,
Learning towards Minimum Hyperspherical Energy,NIPS,2018,MHE,wy1iu,2018-09-07 09:47:37,53,2,16,2,Python,,
Learning Pose Specific Representations by Predicting Different Views,CVPR,2018,PreView,poier,2018-03-26 09:55:34,44,5,5,5,Python,GNU General Public License v3.0,
Learning Rigidity in Dynamic Scenes with a Moving Camera for 3D Motion Field Estimation,ECCV,2018,learningrigidity,NVlabs,2018-07-24 17:54:23,58,6,15,6,Python,,NVlabs
Differentiable Compositional Kernel Learning for Gaussian Processes,ICML,2018,Neural-Kernel-Network,ssydasheng,2017-10-28 01:54:14,45,2,9,2,Python,MIT License,
Hierarchical Bilinear Pooling for Fine-Grained Visual Recognition,ECCV,2018,Hierarchical-Bilinear-Pooling,ChaojianYu,2018-07-31 13:09:05,55,13,3,13,C++,Other,
Real-World Anomaly Detection in Surveillance Videos,CVPR,2018,AnomalyDetectionCVPR2018,WaqasSultani,2018-06-10 13:33:26,69,30,10,30,Python,,
Exploit the Unknown Gradually: One-Shot Video-Based Person Re-Identification by Stepwise Learning,CVPR,2018,Exploit-Unknown-Gradually,Yu-Wu,2018-03-19 13:22:11,49,16,3,16,Python,MIT License,
DeepVS: A Deep Learning Based Video Saliency Prediction Approach,ECCV,2018,OMCNN_2CLSTM,remega,2017-09-12 10:40:12,53,22,4,22,Python,,
Semi-supervised Adversarial Learning to Generate Photorealistic Face Images of New Identities from 3D Morphable Model,ECCV,2018,facegan,barisgecer,2017-08-15 13:36:30,53,12,6,12,Python,,
Image Manipulation with Perceptual Discriminators,ECCV,2018,PerceptualGAN,egorzakharov,2018-07-26 05:09:49,44,4,1,4,Python,GNU General Public License v3.0,
RayNet: Learning Volumetric 3D Reconstruction With Ray Potentials,CVPR,2018,raynet,paschalidoud,2018-04-04 14:10:42,50,12,8,12,Python,Other,
Rotation-Sensitive Regression for Oriented Scene Text Detection,CVPR,2018,RRD,MhLiao,2018-06-14 09:55:35,59,11,8,11,C++,Other,
Video Re-localization,ECCV,2018,video_reloc,fengyang0317,2018-07-23 06:55:27,45,8,5,8,Python,MIT License,
Learning Efficient Single-stage Pedestrian Detectors by Asymptotic Localization Fitting,ECCV,2018,ALFNet,liuwei16,2018-07-09 14:05:48,50,30,2,30,Jupyter Notebook,,
Learning Intrinsic Image Decomposition From Watching the World,CVPR,2018,unsupervised-learning-intrinsic-images,lixx2938,2018-04-05 17:16:06,42,9,2,9,OpenEdge ABL,MIT License,
Coloring with Words: Guiding Image Colorization Through Text-based Palette Generation,ECCV,2018,Text2Colors,awesome-davian,2018-04-01 03:54:02,47,12,1,12,Python,MIT License,
Learning Pixel-Level Semantic Affinity With Image-Level Supervision for Weakly Supervised Semantic Segmentation,CVPR,2018,psa,jiwoon-ahn,2018-05-18 05:49:51,50,8,2,8,Python,MIT License,
Deep k-Means: Re-Training and Parameter Sharing with Harder Cluster Assignments for Compressing Deep Convolutions,ICML,2018,Deep-K-Means-pytorch,Sandbox3aster,2018-06-07 21:36:09,42,16,8,16,Python,,
Superpixel Sampling Networks,ECCV,2018,ssn_superpixels,NVlabs,2018-09-05 16:12:31,65,10,15,10,Python,Other,NVlabs
Self-produced Guidance for Weakly-supervised Object Localization,ECCV,2018,SPG,xiaomengyc,2018-07-20 20:21:23,51,7,7,7,Python,,
Surface Networks,CVPR,2018,SurfaceNetworks,jiangzhongshi,2018-03-28 16:19:54,47,10,5,10,Python,,
SketchyGAN: Towards Diverse and Realistic Sketch to Image Synthesis,CVPR,2018,SketchyGAN,wchen342,2018-03-08 21:08:38,48,11,6,11,Python,MIT License,
Overcoming Catastrophic Forgetting with Hard Attention to the Task,ICML,2018,hat,joansj,2018-04-09 15:45:26,42,12,6,12,Python,,
Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples,ICML,2018,lstar_extraction,tech-srl,2018-06-24 09:02:46,37,7,4,7,Jupyter Notebook,,tech-srl
PredRNN++: Towards A Resolution of the Deep-in-Time Dilemma in Spatiotemporal Predictive Learning,ICML,2018,predrnn-pp,Yunbo426,2018-04-20 12:39:58,41,14,6,14,Python,,
Neural Autoregressive Flows,ICML,2018,NAF,CW-Huang,2018-03-29 20:39:51,46,11,9,11,Python,,
Robust Classification With Convolutional Prototype Learning,CVPR,2018,Convolutional-Prototype-Learning,YangHM,2018-05-06 10:02:25,43,9,5,9,Python,,
Pose Partition Networks for Multi-Person Pose Estimation,ECCV,2018,pytorch-ppn,NieXC,2018-08-18 08:19:22,41,4,2,4,Python,,
Mutual Learning to Adapt for Joint Human Parsing and Pose Estimation,ECCV,2018,pytorch-mula,NieXC,2018-08-29 12:50:42,42,2,1,2,Python,,
Frame-Recurrent Video Super-Resolution,CVPR,2018,FRVSR,msmsajjadi,2018-06-15 14:00:21,56,11,9,11,,,
Multi-View Silhouette and Depth Decomposition for High Resolution 3D Object Representation,NIPS,2018,Multi-View-Silhouette-and-Depth-Decomposition-for-High-Resolution-3D-Object-Representation,EdwardSmith1884,2018-02-08 20:01:42,40,9,4,9,Python,,
Partial Adversarial Domain Adaptation,ECCV,2018,PADA,thuml,2018-07-11 16:36:53,42,15,4,15,Python,,thuml
Part-Aligned Bilinear Representations for Person Re-Identification,ECCV,2018,part_bilinear_reid,yuminsuh,2018-07-26 06:38:14,63,10,4,10,Jupyter Notebook,,
Generalisation in humans and deep neural networks,NIPS,2018,generalisation-humans-DNNs,rgeirhos,2018-05-23 09:02:52,40,7,4,7,R,Creative Commons Attribution 4.0 International,
Generative Adversarial Perturbations,CVPR,2018,Generative_Adversarial_Perturbations,OmidPoursaeed,2018-04-29 23:42:12,37,3,3,3,Python,,
Human Semantic Parsing for Person Re-Identification,CVPR,2018,SPReID,emrahbasaran,2018-04-10 23:56:48,54,14,5,14,Python,MIT License,
3DMV: Joint 3D-Multi-View Prediction for 3D Semantic Scene Segmentation,ECCV,2018,3DMV,angeladai,2018-07-21 19:51:40,73,12,13,12,Python,Other,
Towards Binary-Valued Gates for Robust LSTM Training,ICML,2018,g2-lstm,zhuohan123,2018-05-31 11:10:46,40,7,3,7,Python,,
Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,ICML,2018,hyperbolic_cones,dalab,2018-04-03 18:43:33,44,2,12,2,Python,Apache License 2.0,dalab
Holistic 3D Scene Parsing and Reconstruction from a Single RGB Image,ECCV,2018,holistic_scene_parsing,thusiyuan,2018-08-09 03:49:38,71,7,8,7,Python,MIT License,
Learning-based Video Motion Magnification,ECCV,2018,deep_motion_mag,12dmodel,2018-07-31 17:22:59,47,13,8,13,Python,MIT License,
Few-Shot Image Recognition by Predicting Parameters From Activations,CVPR,2018,FewShot-CVPR,joe-siyuan-qiao,2018-03-28 21:40:17,36,2,4,2,Lua,,
NetGAN: Generating Graphs via Random Walks,ICML,2018,netgan,danielzuegner,2018-05-29 16:09:20,38,14,4,14,Jupyter Notebook,MIT License,
Actor and Observer: Joint Modeling of First and Third-Person Videos,CVPR,2018,actor-observer,gsig,2018-03-28 21:45:07,45,5,4,5,Python,GNU General Public License v3.0,
Visualizing and Understanding Atari Agents,ICML,2018,visualize_atari,greydanus,2017-10-31 22:25:19,44,14,1,14,Jupyter Notebook,,
Choose Your Neuron: Incorporating Domain Knowledge through Neuron-Importance,ECCV,2018,neuron-importance-zsl,ramprs,2018-07-26 01:59:06,37,7,4,7,Python,,
Mean Field Multi-Agent Reinforcement Learning,ICML,2018,mfrl,mlii,2018-06-07 07:35:55,42,8,7,8,Python,,
Black-box Adversarial Attacks with Limited Queries and Information,ICML,2018,limited-blackbox-attacks,labsix,2018-03-25 05:42:07,43,12,6,12,Python,,labsix
Zero-Shot Object Detection,ECCV,2018,ZSD_Release,salman-h-khan,2018-04-10 23:40:35,41,11,5,11,Python,MIT License,
Stacked Cross Attention for Image-Text Matching,ECCV,2018,SCAN,kuanghuei,2018-05-11 18:37:52,45,13,3,13,Python,Apache License 2.0,
Gated Fusion Network for Single Image Dehazing,CVPR,2018,GFN-dehazing,rwenqi,2018-01-21 07:29:50,33,12,3,12,Matlab,,
On the Robustness of Semantic Segmentation Models to Adversarial Attacks,CVPR,2018,adversarial-attacks,hmph,2018-04-06 11:43:39,31,13,1,13,Python,MIT License,
Graphical Generative Adversarial Networks,NIPS,2018,graphical-gan,zhenxuan00,2018-04-10 09:29:50,36,7,11,7,Python,,
SeGAN: Segmenting and Generating the Invisible,CVPR,2018,SeGAN,ehsanik,2018-05-04 21:08:45,35,4,4,4,Lua,Other,
Isolating Sources of Disentanglement in Variational Autoencoders,NIPS,2018,beta-tcvae,rtqichen,2018-04-13 19:00:59,54,7,7,7,Python,MIT License,
Learning Semantic Representations for Unsupervised Domain Adaptation,ICML,2018,Moving-Semantic-Transfer-Network,Mid-Push,2018-06-01 07:15:39,39,17,2,17,Python,,
CleanNet: Transfer Learning for Scalable Image Classifier Training With Label Noise,CVPR,2018,clean-net,kuanghuei,2018-04-11 06:53:16,33,7,3,7,Python,Other,
Deep Model-Based 6D Pose Refinement in RGB,ECCV,2018,eccv18-rgb_pose_refinement,fabi92,2018-07-09 09:59:16,30,1,12,1,,MIT License,
Human-Centric Indoor Scene Synthesis Using Stochastic Grammar,CVPR,2018,human-centric-scene-synthesis,SiyuanQi,2018-02-25 03:26:18,33,5,3,5,C++,MIT License,
Video Rain Streak Removal by Multiscale Convolutional Sparse Coding,CVPR,2018,MS-CSC-Rain-Streak-Removal,MinghanLi,2018-03-10 06:52:14,29,5,2,5,Matlab,,
Deflecting Adversarial Attacks With Pixel Deflection,CVPR,2018,pixel-deflection,iamaaditya,2018-01-26 17:57:46,34,9,2,9,Jupyter Notebook,,
The Sound of Pixels,ECCV,2018,MUSIC_dataset,roudimit,2018-08-13 03:06:21,38,2,7,2,,,
Learning Warped Guidance for Blind Face Restoration,ECCV,2018,GFRNet,csxmli2016,2018-04-12 12:58:29,39,7,4,7,Lua,,
TOM-Net: Learning Transparent Object Matting From a Single Image,CVPR,2018,TOM-Net,guanyingc,2018-03-09 05:56:15,29,6,5,6,Lua,MIT License,
Real-Time Monocular Depth Estimation Using Synthetic Data With Domain Adaptation via Image Style Transfer,CVPR,2018,monocularDepth-Inference,atapour,2018-04-10 10:02:14,37,10,4,10,Python,MIT License,
Neural Guided Constraint Logic Programming for Program Synthesis,NIPS,2018,neuralkanren,xuexue,2018-07-24 19:48:40,32,3,7,3,Python,MIT License,
Mask-Guided Contrastive Attention Model for Person Re-Identification,CVPR,2018,MGCAM,developfeng,2018-06-08 06:13:00,37,12,6,12,Python,,
Quaternion Convolutional Neural Networks,ECCV,2018,Quaternion-Convolutional-Neural-Networks-for-End-to-End-Automatic-Speech-Recognition,Orkis-Research,2018-03-22 20:51:31,29,6,4,6,Python,GNU General Public License v3.0,Orkis-Research
Recurrent Scene Parsing With Perspective Understanding in the Loop,CVPR,2018,Recurrent-Scene-Parsing-with-Perspective-Understanding-in-the-loop,aimerykong,2017-04-23 04:08:31,29,6,4,6,Matlab,,
Learning Dynamic Memory Networks for Object Tracking,ECCV,2018,MemTrack,skyoung,2018-05-03 13:02:20,30,9,9,9,Python,,
Adversarially Learned One-Class Classifier for Novelty Detection,CVPR,2018,ALOCC-CVPR2018,khalooei,2018-03-16 04:27:05,36,16,10,16,Python,MIT License,
Learning to Evaluate Image Captioning,CVPR,2018,cvpr18-caption-eval,richardaecn,2018-03-31 02:38:09,38,7,6,7,Python,MIT License,
SketchyScene: Richly-Annotated Scene Sketches,ECCV,2018,SketchyScene,SketchyScene,2018-07-23 05:54:40,30,9,6,9,Python,,
Tangent Convolutions for Dense Prediction in 3D,CVPR,2018,tangent_conv,tatarchm,2018-06-18 09:06:45,36,11,8,11,Python,,
Layer-structured 3D Scene Inference via View Synthesis,ECCV,2018,layered-scene-inference,google,2018-03-11 22:03:56,28,6,5,6,Python,Apache License 2.0,google
Bidirectional Feature Pyramid Network with Recurrent Attention Residual Modules for Shadow Detection,ECCV,2018,BDRAR,zijundeng,2018-07-08 12:18:14,31,5,7,5,Python,,
Structured Attention Guided Convolutional Neural Fields for Monocular Depth Estimation,CVPR,2018,StructuredAttentionDepthEstimation,danxuhk,2018-03-28 11:21:12,39,9,4,9,C++,Other,
Revisiting Video Saliency: A Large-Scale Benchmark and a New Model,CVPR,2018,DHF1K,wenguanwang,2018-03-15 20:14:49,30,7,7,7,Matlab,,
Deep Texture Manifold for Ground Terrain Recognition,CVPR,2018,Deep-Encoding-Pooling-Network-DEP-,jiaxue1993,2018-06-14 15:45:44,25,3,1,3,Python,,
Deep Regression Tracking with Shrinkage Loss,ECCV,2018,DSLT,chaoma99,2018-07-24 12:20:44,32,7,6,7,Jupyter Notebook,,
Controllable Video Generation With Sparse Trajectories,CVPR,2018,ControllableVideoGen,zekunhao1995,2018-03-29 21:15:14,25,1,3,1,Python,Apache License 2.0,
First Order Generative Adversarial Networks,ICML,2018,first_order_gan,zalandoresearch,2018-02-13 11:21:26,25,7,5,7,Jupyter Notebook,Apache License 2.0,zalandoresearch
IQA: Visual Question Answering in Interactive Environments,CVPR,2018,thor-iqa-cvpr-2018,danielgordon10,2018-06-07 22:10:08,57,10,4,10,Python,Apache License 2.0,
Interpretable Intuitive Physics Model,ECCV,2018,interpretable-intuitive-physics-model,tianye95,2018-08-29 18:41:50,26,1,2,1,Python,,
Blazingly Fast Video Object Segmentation With Pixel-Wise Metric Learning,CVPR,2018,fast-vos,yuhuayc,2018-06-13 15:32:28,30,5,13,5,Matlab,MIT License,
Graph-Cut RANSAC,CVPR,2018,graph-cut-ransac,danini,2017-09-07 10:46:08,31,9,6,9,C++,,
A Trilateral Weighted Sparse Coding Scheme for Real-World Image Denoising,ECCV,2018,TWSC-ECCV2018,csjunxu,2018-07-04 08:09:10,30,9,6,9,Matlab,Other,
Improving Shape Deformation in Unsupervised Image-to-Image Translation,ECCV,2018,ganimorph,brownvc,2018-07-25 18:43:03,30,8,15,8,Python,Other,brownvc
Between-Class Learning for Image Classification,CVPR,2018,bc_learning_image,mil-tokyo,2017-12-12 02:38:11,24,10,12,10,Python,,mil-tokyo
LF-Net: Learning Local Features from Images,NIPS,2018,lf-net-release,vcg-uvic,2018-07-27 09:24:32,52,12,15,12,Jupyter Notebook,Other,vcg-uvic
CBMV: A Coalesced Bidirectional Matching Volume for Disparity Estimation,CVPR,2018,CBMV,kbatsos,2018-03-20 22:17:02,24,3,6,3,C++,GNU General Public License v3.0,
Learning to Promote Saliency Detectors,CVPR,2018,lps,zengxianyu,2018-02-24 07:45:25,21,6,4,6,Python,,
Visualizing the Loss Landscape of Neural Nets,NIPS,2018,loss-landscape,tomgoldstein,2018-03-16 04:01:12,700,59,20,59,Python,MIT License,
Real-time 'Actor-Critic' Tracking,ECCV,2018,ACT,bychen515,2018-07-23 02:49:18,44,12,4,12,Python,,
CondenseNet: An Efficient DenseNet Using Learned Group Convolutions,CVPR,2018,CondenseNet,ShichenLiu,2017-09-26 01:03:24,525,104,20,104,Python,MIT License,
Improved Fusion of Visual and Language Representations by Dense Symmetric Co-Attention for Visual Question Answering,CVPR,2018,Dense-CoAttention-Network,cvlab-tohoku,2018-05-25 01:08:02,32,5,3,5,Python,MIT License,cvlab-tohoku
EC-Net: an Edge-aware Point set Consolidation Network,ECCV,2018,EC-Net,yulequan,2018-07-04 07:19:20,26,4,2,4,Python,,
SimplE Embedding for Link Prediction in Knowledge Graphs,NIPS,2018,SimplE,Mehran-k,2018-02-13 18:38:19,40,11,7,11,Python,Other,
Learning Convolutional Networks for Content-Weighted Image Compression,CVPR,2018,ImageCompression,limuhit,2017-10-12 05:52:11,25,6,6,6,Python,,
CSGNet: Neural Shape Parser for Constructive Solid Geometry,CVPR,2018,CSGNet,Hippogriff,2018-02-21 00:02:54,21,7,5,7,Python,,
SYQ: Learning Symmetric Quantization for Efficient Deep Neural Networks,CVPR,2018,SYQ,julianfaraone,2018-04-17 02:01:33,23,3,4,3,Python,Apache License 2.0,
Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,ECCV,2018,deeplabv3plus,qixuxiang,2018-03-18 03:33:20,28,10,1,10,Python,,
Partial Transfer Learning With Selective Adversarial Networks,CVPR,2018,SAN,thuml,2018-06-15 02:37:14,26,12,2,12,Jupyter Notebook,,thuml
Learning to Blend Photos,ECCV,2018,LearnToBlend,hfslyc,2018-07-23 20:40:37,40,0,7,0,,,
Learning Single-View 3D Reconstruction with Limited Pose Supervision,ECCV,2018,3d-recon,stevenygd,2018-07-25 03:14:06,33,2,8,2,Python,MIT License,
A Generative Adversarial Approach for Zero-Shot Learning From Noisy Texts,CVPR,2018,ZSL_GAN_CVPR18,EthanZhu90,2018-05-19 00:57:26,120,16,5,16,Python,,
Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings,ICML,2018,Sectar,wyndwarrior,2018-06-07 08:33:38,25,5,2,5,Python,,
Speaker-Follower Models for Vision-and-Language Navigation,NIPS,2018,speaker_follower,ronghanghu,2018-09-12 19:51:14,30,5,4,5,C++,Other,
Explicit Inductive Bias for Transfer Learning with Convolutional Networks,ICML,2018,TransferLearningClassification,holyseven,2018-02-08 10:35:25,23,4,1,4,Python,MIT License,
Exploiting the Potential of Standard Convolutional Autoencoders for Image Restoration by Evolutionary Search,ICML,2018,Evolutionary-Autoencoders,sg-nm,2018-02-23 01:56:01,22,4,2,4,Python,MIT License,
Cross-Modal Deep Variational Hand Pose Estimation,CVPR,2018,vae-hands-3d,spurra,2018-07-05 08:59:47,25,6,2,6,Python,GNU General Public License v3.0,
Hyperbolic Neural Networks,NIPS,2018,hyperbolic_nn,dalab,2018-05-22 16:19:11,34,5,10,5,Python,Apache License 2.0,dalab
Flow-Grounded Spatial-Temporal Video Prediction from Still Images,ECCV,2018,FlowGrounded-VideoPrediction,Yijunmaverick,2018-09-01 20:32:01,32,1,2,1,Lua,,
Single Shot Scene Text Retrieval,ECCV,2018,single-shot-str,lluisgomez,2018-07-18 17:57:50,27,13,8,13,Python,,
Hallucinated-IQA: No-Reference Image Quality Assessment via Adversarial Learning,CVPR,2018,HIQA,kwanyeelin,2018-04-06 06:38:25,21,7,14,7,,,
Audio-Visual Event Localization in Unconstrained Videos,ECCV,2018,AVE-ECCV18,YapengTian,2018-07-04 03:23:57,23,3,3,3,Python,,
LEGO: Learning Edge With Geometry All at Once by Watching Videos,CVPR,2018,LEGO,zhenheny,2018-06-10 20:28:23,23,4,1,4,Python,MIT License,
Deep Reinforcement Learning of Marked Temporal Point Processes,NIPS,2018,tpprl,Networks-Learning,2018-05-23 13:39:18,24,3,5,3,Python,,Networks-Learning
Deep Randomized Ensembles for Metric Learning,ECCV,2018,DREML,littleredxh,2018-07-10 19:29:01,30,6,4,6,Python,,
